[2024-11-10 22:30:15,723    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:23,795    DEBUG] https://quotes.toscrape.com:443 "GET /page/10 HTTP/11" 308 257
[2024-11-10 22:30:23,797    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:24,108    DEBUG] http://quotes.toscrape.com:80 "GET /page/10/ HTTP/11" 200 9943
[2024-11-10 22:30:24,122    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:24,651    DEBUG] https://quotes.toscrape.com:443 "GET /page/11 HTTP/11" 308 257
[2024-11-10 22:30:24,651    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:25,002    DEBUG] http://quotes.toscrape.com:80 "GET /page/11/ HTTP/11" 200 3050
[2024-11-10 22:30:25,006    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:25,455    DEBUG] https://quotes.toscrape.com:443 "GET /page/12 HTTP/11" 308 257
[2024-11-10 22:30:25,456    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:25,770    DEBUG] http://quotes.toscrape.com:80 "GET /page/12/ HTTP/11" 200 3050
[2024-11-10 22:30:25,774    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:26,212    DEBUG] https://quotes.toscrape.com:443 "GET /page/13 HTTP/11" 308 257
[2024-11-10 22:30:26,213    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:26,530    DEBUG] http://quotes.toscrape.com:80 "GET /page/13/ HTTP/11" 200 3050
[2024-11-10 22:30:26,539    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:27,004    DEBUG] https://quotes.toscrape.com:443 "GET /page/14 HTTP/11" 308 257
[2024-11-10 22:30:27,005    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:27,298    DEBUG] http://quotes.toscrape.com:80 "GET /page/14/ HTTP/11" 200 3050
[2024-11-10 22:30:27,303    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:27,750    DEBUG] https://quotes.toscrape.com:443 "GET /page/15 HTTP/11" 308 257
[2024-11-10 22:30:27,751    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:28,065    DEBUG] http://quotes.toscrape.com:80 "GET /page/15/ HTTP/11" 200 3050
[2024-11-10 22:30:28,068    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:28,615    DEBUG] https://quotes.toscrape.com:443 "GET /page/16 HTTP/11" 308 257
[2024-11-10 22:30:28,616    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:28,920    DEBUG] http://quotes.toscrape.com:80 "GET /page/16/ HTTP/11" 200 3050
[2024-11-10 22:30:28,923    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:29,409    DEBUG] https://quotes.toscrape.com:443 "GET /page/17 HTTP/11" 308 257
[2024-11-10 22:30:29,410    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:29,713    DEBUG] http://quotes.toscrape.com:80 "GET /page/17/ HTTP/11" 200 3050
[2024-11-10 22:30:29,716    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:30,192    DEBUG] https://quotes.toscrape.com:443 "GET /page/18 HTTP/11" 308 257
[2024-11-10 22:30:30,193    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:30,630    DEBUG] http://quotes.toscrape.com:80 "GET /page/18/ HTTP/11" 200 3050
[2024-11-10 22:30:30,634    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:31,099    DEBUG] https://quotes.toscrape.com:443 "GET /page/19 HTTP/11" 308 257
[2024-11-10 22:30:31,100    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:31,429    DEBUG] http://quotes.toscrape.com:80 "GET /page/19/ HTTP/11" 200 3050
[2024-11-10 22:30:31,432    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:31,904    DEBUG] https://quotes.toscrape.com:443 "GET /page/20 HTTP/11" 308 257
[2024-11-10 22:30:31,905    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:32,202    DEBUG] http://quotes.toscrape.com:80 "GET /page/20/ HTTP/11" 200 3050
[2024-11-10 22:30:32,209    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:32,881    DEBUG] https://quotes.toscrape.com:443 "GET /page/21 HTTP/11" 308 257
[2024-11-10 22:30:32,886    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:33,245    DEBUG] http://quotes.toscrape.com:80 "GET /page/21/ HTTP/11" 200 3050
[2024-11-10 22:30:33,250    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:33,712    DEBUG] https://quotes.toscrape.com:443 "GET /page/22 HTTP/11" 308 257
[2024-11-10 22:30:33,713    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:34,018    DEBUG] http://quotes.toscrape.com:80 "GET /page/22/ HTTP/11" 200 3050
[2024-11-10 22:30:34,021    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:34,540    DEBUG] https://quotes.toscrape.com:443 "GET /page/23 HTTP/11" 308 257
[2024-11-10 22:30:34,541    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:34,864    DEBUG] http://quotes.toscrape.com:80 "GET /page/23/ HTTP/11" 200 3050
[2024-11-10 22:30:34,868    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:35,384    DEBUG] https://quotes.toscrape.com:443 "GET /page/24 HTTP/11" 308 257
[2024-11-10 22:30:35,386    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:35,695    DEBUG] http://quotes.toscrape.com:80 "GET /page/24/ HTTP/11" 200 3050
[2024-11-10 22:30:35,699    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:36,176    DEBUG] https://quotes.toscrape.com:443 "GET /page/25 HTTP/11" 308 257
[2024-11-10 22:30:36,177    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:36,826    DEBUG] http://quotes.toscrape.com:80 "GET /page/25/ HTTP/11" 200 3050
[2024-11-10 22:30:36,833    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:37,508    DEBUG] https://quotes.toscrape.com:443 "GET /page/26 HTTP/11" 308 257
[2024-11-10 22:30:37,509    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:38,051    DEBUG] http://quotes.toscrape.com:80 "GET /page/26/ HTTP/11" 200 3050
[2024-11-10 22:30:38,059    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:39,717    DEBUG] https://quotes.toscrape.com:443 "GET /page/27 HTTP/11" 308 257
[2024-11-10 22:30:39,718    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:42,008    DEBUG] http://quotes.toscrape.com:80 "GET /page/27/ HTTP/11" 200 3050
[2024-11-10 22:30:42,012    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:43,031    DEBUG] https://quotes.toscrape.com:443 "GET /page/28 HTTP/11" 308 257
[2024-11-10 22:30:43,032    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:45,367    DEBUG] http://quotes.toscrape.com:80 "GET /page/28/ HTTP/11" 200 3050
[2024-11-10 22:30:45,371    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:45,914    DEBUG] https://quotes.toscrape.com:443 "GET /page/29 HTTP/11" 308 257
[2024-11-10 22:30:45,915    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:47,523    DEBUG] http://quotes.toscrape.com:80 "GET /page/29/ HTTP/11" 200 3050
[2024-11-10 22:30:47,527    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:48,144    DEBUG] https://quotes.toscrape.com:443 "GET /page/30 HTTP/11" 308 257
[2024-11-10 22:30:48,144    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:48,460    DEBUG] http://quotes.toscrape.com:80 "GET /page/30/ HTTP/11" 200 3050
[2024-11-10 22:30:48,483    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:49,018    DEBUG] https://quotes.toscrape.com:443 "GET /page/31 HTTP/11" 308 257
[2024-11-10 22:30:49,019    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:49,334    DEBUG] http://quotes.toscrape.com:80 "GET /page/31/ HTTP/11" 200 3050
[2024-11-10 22:30:49,341    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:50,345    DEBUG] https://quotes.toscrape.com:443 "GET /page/32 HTTP/11" 308 257
[2024-11-10 22:30:50,345    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:50,704    DEBUG] http://quotes.toscrape.com:80 "GET /page/32/ HTTP/11" 200 3050
[2024-11-10 22:30:50,717    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:52,227    DEBUG] https://quotes.toscrape.com:443 "GET /page/33 HTTP/11" 308 257
[2024-11-10 22:30:52,228    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:52,564    DEBUG] http://quotes.toscrape.com:80 "GET /page/33/ HTTP/11" 200 3050
[2024-11-10 22:30:52,570    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:53,734    DEBUG] https://quotes.toscrape.com:443 "GET /page/34 HTTP/11" 308 257
[2024-11-10 22:30:53,734    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:54,974    DEBUG] http://quotes.toscrape.com:80 "GET /page/34/ HTTP/11" 200 3050
[2024-11-10 22:30:54,980    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:56,108    DEBUG] https://quotes.toscrape.com:443 "GET /page/35 HTTP/11" 308 257
[2024-11-10 22:30:56,109    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:56,685    DEBUG] http://quotes.toscrape.com:80 "GET /page/35/ HTTP/11" 200 3050
[2024-11-10 22:30:57,829    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:58,643    DEBUG] https://quotes.toscrape.com:443 "GET /page/36 HTTP/11" 308 257
[2024-11-10 22:30:58,644    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:59,469    DEBUG] http://quotes.toscrape.com:80 "GET /page/36/ HTTP/11" 200 3050
[2024-11-10 22:31:01,033    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:01,572    DEBUG] https://quotes.toscrape.com:443 "GET /page/37 HTTP/11" 308 257
[2024-11-10 22:31:01,574    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:01,894    DEBUG] http://quotes.toscrape.com:80 "GET /page/37/ HTTP/11" 200 3050
[2024-11-10 22:31:01,901    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:02,380    DEBUG] https://quotes.toscrape.com:443 "GET /page/38 HTTP/11" 308 257
[2024-11-10 22:31:02,381    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:02,666    DEBUG] http://quotes.toscrape.com:80 "GET /page/38/ HTTP/11" 200 3050
[2024-11-10 22:31:02,675    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:03,178    DEBUG] https://quotes.toscrape.com:443 "GET /page/39 HTTP/11" 308 257
[2024-11-10 22:31:03,187    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:03,550    DEBUG] http://quotes.toscrape.com:80 "GET /page/39/ HTTP/11" 200 3050
[2024-11-10 22:31:03,555    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:04,025    DEBUG] https://quotes.toscrape.com:443 "GET /page/40 HTTP/11" 308 257
[2024-11-10 22:31:04,026    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:04,324    DEBUG] http://quotes.toscrape.com:80 "GET /page/40/ HTTP/11" 200 3050
[2024-11-10 22:31:04,998    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:05,669    DEBUG] https://quotes.toscrape.com:443 "GET /page/41 HTTP/11" 308 257
[2024-11-10 22:31:05,670    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:07,484    DEBUG] http://quotes.toscrape.com:80 "GET /page/41/ HTTP/11" 200 3050
[2024-11-10 22:31:07,573    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:08,304    DEBUG] https://quotes.toscrape.com:443 "GET /page/42 HTTP/11" 308 257
[2024-11-10 22:31:08,305    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:08,604    DEBUG] http://quotes.toscrape.com:80 "GET /page/42/ HTTP/11" 200 3050
[2024-11-10 22:31:08,622    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:09,119    DEBUG] https://quotes.toscrape.com:443 "GET /page/43 HTTP/11" 308 257
[2024-11-10 22:31:09,120    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:09,415    DEBUG] http://quotes.toscrape.com:80 "GET /page/43/ HTTP/11" 200 3050
[2024-11-10 22:31:09,422    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:09,949    DEBUG] https://quotes.toscrape.com:443 "GET /page/44 HTTP/11" 308 257
[2024-11-10 22:31:09,950    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:10,259    DEBUG] http://quotes.toscrape.com:80 "GET /page/44/ HTTP/11" 200 3050
[2024-11-10 22:31:10,501    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:10,964    DEBUG] https://quotes.toscrape.com:443 "GET /page/45 HTTP/11" 308 257
[2024-11-10 22:31:10,965    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:11,307    DEBUG] http://quotes.toscrape.com:80 "GET /page/45/ HTTP/11" 200 3050
[2024-11-10 22:31:11,312    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:11,864    DEBUG] https://quotes.toscrape.com:443 "GET /page/46 HTTP/11" 308 257
[2024-11-10 22:31:11,865    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:12,176    DEBUG] http://quotes.toscrape.com:80 "GET /page/46/ HTTP/11" 200 3050
[2024-11-10 22:31:12,183    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:12,660    DEBUG] https://quotes.toscrape.com:443 "GET /page/47 HTTP/11" 308 257
[2024-11-10 22:31:12,661    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:12,941    DEBUG] http://quotes.toscrape.com:80 "GET /page/47/ HTTP/11" 200 3050
[2024-11-10 22:31:12,957    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:13,437    DEBUG] https://quotes.toscrape.com:443 "GET /page/48 HTTP/11" 308 257
[2024-11-10 22:31:13,438    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:13,805    DEBUG] http://quotes.toscrape.com:80 "GET /page/48/ HTTP/11" 200 3050
[2024-11-10 22:31:13,810    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:14,292    DEBUG] https://quotes.toscrape.com:443 "GET /page/49 HTTP/11" 308 257
[2024-11-10 22:31:14,292    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:14,577    DEBUG] http://quotes.toscrape.com:80 "GET /page/49/ HTTP/11" 200 3050
[2024-11-10 22:31:14,580    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:15,038    DEBUG] https://quotes.toscrape.com:443 "GET /page/50 HTTP/11" 308 257
[2024-11-10 22:31:15,039    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:15,342    DEBUG] http://quotes.toscrape.com:80 "GET /page/50/ HTTP/11" 200 3050
[2024-11-10 22:31:15,342    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:15,813    DEBUG] https://quotes.toscrape.com:443 "GET /page/51 HTTP/11" 308 257
[2024-11-10 22:31:15,814    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:16,113    DEBUG] http://quotes.toscrape.com:80 "GET /page/51/ HTTP/11" 200 3050
[2024-11-10 22:31:16,117    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:16,586    DEBUG] https://quotes.toscrape.com:443 "GET /page/52 HTTP/11" 308 257
[2024-11-10 22:31:16,587    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:16,906    DEBUG] http://quotes.toscrape.com:80 "GET /page/52/ HTTP/11" 200 3050
[2024-11-10 22:31:16,911    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:17,361    DEBUG] https://quotes.toscrape.com:443 "GET /page/53 HTTP/11" 308 257
[2024-11-10 22:31:17,362    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:17,684    DEBUG] http://quotes.toscrape.com:80 "GET /page/53/ HTTP/11" 200 3050
[2024-11-10 22:31:17,691    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:18,177    DEBUG] https://quotes.toscrape.com:443 "GET /page/54 HTTP/11" 308 257
[2024-11-10 22:31:18,179    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:18,465    DEBUG] http://quotes.toscrape.com:80 "GET /page/54/ HTTP/11" 200 3050
[2024-11-10 22:31:18,471    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:18,942    DEBUG] https://quotes.toscrape.com:443 "GET /page/55 HTTP/11" 308 257
[2024-11-10 22:31:18,942    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:19,232    DEBUG] http://quotes.toscrape.com:80 "GET /page/55/ HTTP/11" 200 3050
[2024-11-10 22:31:19,235    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:19,741    DEBUG] https://quotes.toscrape.com:443 "GET /page/56 HTTP/11" 308 257
[2024-11-10 22:31:19,743    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:20,066    DEBUG] http://quotes.toscrape.com:80 "GET /page/56/ HTTP/11" 200 3050
[2024-11-10 22:31:20,071    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:20,535    DEBUG] https://quotes.toscrape.com:443 "GET /page/57 HTTP/11" 308 257
[2024-11-10 22:31:20,536    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:20,830    DEBUG] http://quotes.toscrape.com:80 "GET /page/57/ HTTP/11" 200 3050
[2024-11-10 22:31:20,837    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:21,330    DEBUG] https://quotes.toscrape.com:443 "GET /page/58 HTTP/11" 308 257
[2024-11-10 22:31:21,331    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:21,675    DEBUG] http://quotes.toscrape.com:80 "GET /page/58/ HTTP/11" 200 3050
[2024-11-10 22:31:21,678    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:22,162    DEBUG] https://quotes.toscrape.com:443 "GET /page/59 HTTP/11" 308 257
[2024-11-10 22:31:22,162    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:22,480    DEBUG] http://quotes.toscrape.com:80 "GET /page/59/ HTTP/11" 200 3050
[2024-11-10 22:31:22,484    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:22,976    DEBUG] https://quotes.toscrape.com:443 "GET /page/60 HTTP/11" 308 257
[2024-11-10 22:31:22,977    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:23,269    DEBUG] http://quotes.toscrape.com:80 "GET /page/60/ HTTP/11" 200 3050
[2024-11-10 22:31:23,280    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:23,733    DEBUG] https://quotes.toscrape.com:443 "GET /page/61 HTTP/11" 308 257
[2024-11-10 22:31:23,734    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:24,025    DEBUG] http://quotes.toscrape.com:80 "GET /page/61/ HTTP/11" 200 3050
[2024-11-10 22:31:24,068    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:25,408    DEBUG] https://quotes.toscrape.com:443 "GET /page/62 HTTP/11" 308 257
[2024-11-10 22:31:25,409    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:25,804    DEBUG] http://quotes.toscrape.com:80 "GET /page/62/ HTTP/11" 200 3050
[2024-11-10 22:31:25,808    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:26,419    DEBUG] https://quotes.toscrape.com:443 "GET /page/63 HTTP/11" 308 257
[2024-11-10 22:31:26,420    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:26,725    DEBUG] http://quotes.toscrape.com:80 "GET /page/63/ HTTP/11" 200 3050
[2024-11-10 22:31:26,729    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:27,292    DEBUG] https://quotes.toscrape.com:443 "GET /page/64 HTTP/11" 308 257
[2024-11-10 22:31:27,293    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:27,601    DEBUG] http://quotes.toscrape.com:80 "GET /page/64/ HTTP/11" 200 3050
[2024-11-10 22:31:27,605    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:28,240    DEBUG] https://quotes.toscrape.com:443 "GET /page/65 HTTP/11" 308 257
[2024-11-10 22:31:28,241    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:31:28,670    DEBUG] http://quotes.toscrape.com:80 "GET /page/65/ HTTP/11" 200 3050
[2024-11-10 22:31:28,674    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:31:29,207    DEBUG] https://quotes.toscrape.com:443 "GET /page/66 HTTP/11" 308 257
